phase,group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,submit,queue,train_walltime,eval_walltime,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,notes
E2,E2,E2_single_pipe_emul_uniform_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_single_pipe_emul_deep_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_single_pipe_emul_last2b0005_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.005,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_single_pipe_emul_last2b001_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_single_pipe_emul_last2b002_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.02,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_single_pipe_emul_last2b003_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.03,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_single_pipe_emul_last2b005_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.05,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_pipe_strict_uniform_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_pipe_strict_deep_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_pipe_strict_last2b0005_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.005,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_pipe_strict_last2b001_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_pipe_strict_last2b002_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.02,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_pipe_strict_last2b003_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.03,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
E2,E2,E2_pipe_strict_last2b005_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.05,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional
