submit,group,exp_id,story,hypothesis,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,notes,train_walltime,eval_walltime,queue,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,eval_seed,reference_run_dir,reference_eval_dir,reference_metrics_json,reference_stats_json,reference_walltime_seconds,submitted_at,train_run_dir,eval_run_dir,train_job_id,eval_job_id
1,A2,A2_pipe_last2b001_p2_k100_s20k,Q2 pipeline factor,Last2_beta weighting with stage_count_2,pipe_strict,2,2,100,20000,1e-4,1.0,last2_beta,0.01,1,1,2,5000,stage_count_last2,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:50:53Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p2_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p2_k100_s20k_20260329_145053/eval,6980024.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980025.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A2,A2_pipe_last2b001_p4_k100_s20k,Q2 pipeline factor,Last2_beta weighting with stage_count_4,pipe_strict,4,4,100,20000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,stage_count_last2,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:50:53Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p4_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p4_k100_s20k_20260329_145053/eval,6980026.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980027.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A2,A2_pipe_last2b001_p8_k100_s20k,Q2 pipeline factor,Last2_beta weighting with stage_count_8,pipe_strict,8,8,100,20000,1e-4,1.0,last2_beta,0.01,1,2,4,5000,stage_count_last2,04:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:53:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p8_k100_s20k_20260329_145326,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p8_k100_s20k_20260329_145326/eval,6980032.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980033.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_ddp_fullk_k30_s20k,Q3 sampling_fidelity factor,DDP fullk baseline at K30,ddp_fullk,4,0,30,20000,1e-4,1.0,uniform,0.01,1,1,4,5000,k_sweep_baseline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:54:47Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k30_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k30_s20k_20260329_145447/eval,6980034.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980035.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_pipe_last2b001_p4_k30_s20k,Q3 sampling_fidelity factor,Pipeline strict at K30,pipe_strict,4,4,30,20000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,k_sweep_pipeline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:54:47Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k30_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k30_s20k_20260329_145447/eval,6980036.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980037.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_ddp_fullk_k60_s20k,Q3 sampling_fidelity factor,DDP fullk baseline at K60,ddp_fullk,4,0,60,20000,1e-4,1.0,uniform,0.01,1,1,4,5000,k_sweep_baseline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:54:47Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k60_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k60_s20k_20260329_145447/eval,6980038.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980039.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_pipe_last2b001_p4_k60_s20k,Q3 sampling_fidelity factor,Pipeline strict at K60,pipe_strict,4,4,60,20000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,k_sweep_pipeline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:54:47Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k60_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k60_s20k_20260329_145447/eval,6980040.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980041.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_ddp_fullk_k100_s20k,Q3 sampling_fidelity factor,DDP fullk baseline at K100,ddp_fullk,4,0,100,20000,1e-4,1.0,uniform,0.01,1,1,4,5000,k_sweep_baseline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T15:25:23Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k100_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k100_s20k_20260329_152523/eval,6980044.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980045.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_pipe_last2b001_p4_k100_s20k,Q3 sampling_fidelity factor,Pipeline strict at K100,pipe_strict,4,4,100,20000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,k_sweep_pipeline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T15:25:23Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k100_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k100_s20k_20260329_152523/eval,6980046.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980047.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_ddp_fullk_k150_s20k,Q3 sampling_fidelity factor,DDP fullk baseline at K150,ddp_fullk,4,0,150,20000,1e-4,1.0,uniform,0.01,1,1,4,5000,k_sweep_baseline,04:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T15:25:23Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k150_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k150_s20k_20260329_152523/eval,6980048.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980049.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_pipe_last2b001_p4_k150_s20k,Q3 sampling_fidelity factor,Pipeline strict at K150,pipe_strict,4,4,150,20000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,k_sweep_pipeline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T15:25:23Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k150_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k150_s20k_20260329_152523/eval,6980050.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980051.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_ddp_fullk_k200_s20k,Q3 sampling_fidelity factor,DDP fullk baseline at K200,ddp_fullk,4,0,200,20000,1e-4,1.0,uniform,0.01,1,1,4,5000,k_sweep_baseline,04:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T15:25:23Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k200_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k200_s20k_20260329_152523/eval,6980052.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,A3,A3_pipe_last2b001_p4_k200_s20k,Q3 sampling_fidelity factor,Pipeline strict at K200,pipe_strict,4,4,200,20000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,k_sweep_pipeline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T15:25:23Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k200_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k200_s20k_20260329_152523/eval,6980054.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980055.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A3,A3_ddp_fullk_k400_s20k,Q3 sampling_fidelity factor,DDP fullk baseline at K400,ddp_fullk,4,0,400,20000,1e-4,1.0,uniform,0.01,1,1,4,5000,k_sweep_baseline_deep_slice100,05:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T15:25:23Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k400_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k400_s20k_20260329_152523/eval,6980056.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,A3,A3_pipe_last2b001_p4_k400_s20k,Q3 sampling_fidelity factor,Pipeline strict at K400 with slice100 per GPU,pipe_strict,4,4,400,20000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,k_sweep_pipeline_slice100,04:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T16:02:21Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k400_s20k_20260329_160221,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k400_s20k_20260329_160221/eval,6980077.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,A4,A4_ddp_fullk_eps001_k100_s20k,Q4 step_size factor,DDP fullk at epsilon_0p01,ddp_fullk,4,0,100,20000,1e-4,0.01,uniform,0.01,1,1,4,5000,epsilon_sweep_baseline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T16:13:07Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps001_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps001_k100_s20k_20260329_161307/eval,6980091.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,A4,A4_pipe_last2b001_p4_eps001_k100_s20k,Q4 step_size factor,Pipeline strict at epsilon_0p01,pipe_strict,4,4,100,20000,1e-4,0.01,last2_beta,0.01,1,1,4,5000,epsilon_sweep_pipeline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T16:13:07Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps001_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps001_k100_s20k_20260329_161307/eval,6980093.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,A4,A4_ddp_fullk_eps002_k100_s20k,Q4 step_size factor,DDP fullk at epsilon_0p02,ddp_fullk,4,0,100,20000,1e-4,0.02,uniform,0.01,1,1,4,5000,epsilon_sweep_baseline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T16:13:07Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps002_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps002_k100_s20k_20260329_161307/eval,6980095.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,A4,A4_pipe_last2b001_p4_eps002_k100_s20k,Q4 step_size factor,Pipeline strict at epsilon_0p02,pipe_strict,4,4,100,20000,1e-4,0.02,last2_beta,0.01,1,1,4,5000,epsilon_sweep_pipeline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T16:13:07Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps002_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps002_k100_s20k_20260329_161307/eval,6980097.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,A4,A4_ddp_fullk_eps005_k100_s20k,Q4 step_size factor,DDP fullk at epsilon_0p05,ddp_fullk,4,0,100,20000,1e-4,0.05,uniform,0.01,1,1,4,5000,epsilon_sweep_baseline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-30T03:16:04Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps005_k100_s20k_20260330_031604,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps005_k100_s20k_20260330_031604/eval,6980655.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,A4,A4_pipe_last2b001_p4_eps005_k100_s20k,Q4 step_size factor,Pipeline strict at epsilon_0p05,pipe_strict,4,4,100,20000,1e-4,0.05,last2_beta,0.01,1,1,4,5000,epsilon_sweep_pipeline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T16:22:36Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps005_k100_s20k_20260329_162236,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps005_k100_s20k_20260329_162236/eval,6980102.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,A4,A4_ddp_fullk_eps010_k100_s20k,Q4 step_size factor,DDP fullk at epsilon_0p1,ddp_fullk,4,0,100,20000,1e-4,0.1,uniform,0.01,1,1,4,5000,epsilon_sweep_baseline,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T16:22:36Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps010_k100_s20k_20260329_162236,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps010_k100_s20k_20260329_162236/eval,6980104.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
