phase,group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,submit,queue,train_walltime,eval_walltime,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,notes,submitted_at,train_run_dir,eval_run_dir,train_job_id,eval_job_id
E2,E2,E2_single_pipe_emul_uniform_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,no,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_uniform_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_uniform_P4_K100_s300k_20260405_003926/eval,6992371.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_single_pipe_emul_deep_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,no,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_deep_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_deep_P4_K100_s300k_20260405_003926/eval,6992372.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_single_pipe_emul_last2b0005_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.005,1,1,1,5000,no,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b0005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b0005_P4_K100_s300k_20260405_003926/eval,6992373.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_single_pipe_emul_last2b001_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.01,1,1,1,5000,no,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b001_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b001_P4_K100_s300k_20260405_003926/eval,6992374.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_single_pipe_emul_last2b002_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.02,1,1,1,5000,no,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b002_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b002_P4_K100_s300k_20260405_003926/eval,6992375.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_single_pipe_emul_last2b003_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.03,1,1,1,5000,no,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b003_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b003_P4_K100_s300k_20260405_003926/eval,6992376.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_single_pipe_emul_last2b005_P4_K100_s300k,Provisional weighting study at fixed P=4,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.05,1,1,1,5000,no,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b005_P4_K100_s300k_20260405_003926/eval,6992377.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_pipe_strict_uniform_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,no,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_uniform_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_uniform_P4_K100_s300k_20260405_003926/eval,6992378.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_pipe_strict_deep_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,4,5000,no,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_deep_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_deep_P4_K100_s300k_20260405_003926/eval,6992379.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_pipe_strict_last2b0005_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.005,1,1,4,5000,no,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b0005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b0005_P4_K100_s300k_20260405_003926/eval,6992380.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_pipe_strict_last2b001_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,no,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b001_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b001_P4_K100_s300k_20260405_003926/eval,6992381.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_pipe_strict_last2b002_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.02,1,1,4,5000,no,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b002_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b002_P4_K100_s300k_20260405_003926/eval,6992382.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_pipe_strict_last2b003_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.03,1,1,4,5000,no,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b003_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b003_P4_K100_s300k_20260405_003926/eval,6992383.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E2,E2,E2_pipe_strict_last2b005_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.05,1,1,4,5000,no,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E2 provisional,2026-04-05T00:39:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b005_P4_K100_s300k_20260405_003926/eval,6992384.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
