phase,group,exp_id,story,train_mode,world_size,pipe_stages,stage_slices,K,steps,lr,step_size,noise_std,weight_mode,last2_beta,seed,num_nodes,ppn,batch_size,save_every,vis_every,eval_images,queue,train_walltime,data_dir,submit,paper_role,notes,config_path,pbs_path,run_dir,pbs_output_log
L1,long_k_scaling,L1_ddp_fullk_K400_s300k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,400,400,300000,1e-4,0.0025,0.01,deep_only,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_300k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_ddp_fullk_K400_s300k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_ddp_fullk_K400_s300k_seed1.pbs.out
L1,long_k_scaling,L1_pipe_P8_equal_K400_s300k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,50;50;50;50;50;50;50;50,400,300000,1e-4,0.0025,0.01,uniform,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_300k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_pipe_P8_equal_K400_s300k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_pipe_P8_equal_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_pipe_P8_equal_K400_s300k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_pipe_P8_equal_K400_s300k_seed1.pbs.out
L1,long_k_scaling,L1_ddp_fullk_K400_s300k_seed2,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,400,400,300000,1e-4,0.0025,0.01,deep_only,0.01,2,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_300k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_ddp_fullk_K400_s300k_seed2.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_ddp_fullk_K400_s300k_seed2.pbs.out
L1,long_k_scaling,L1_pipe_P8_equal_K400_s300k_seed2,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,50;50;50;50;50;50;50;50,400,300000,1e-4,0.0025,0.01,uniform,0.01,2,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_300k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_pipe_P8_equal_K400_s300k_seed2.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_pipe_P8_equal_K400_s300k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_pipe_P8_equal_K400_s300k_seed2,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_pipe_P8_equal_K400_s300k_seed2.pbs.out
L1,long_k_scaling,L1_ddp_fullk_K400_s300k_seed3,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,400,400,300000,1e-4,0.0025,0.01,deep_only,0.01,3,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_300k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_ddp_fullk_K400_s300k_seed3.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed3,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_ddp_fullk_K400_s300k_seed3.pbs.out
L1,long_k_scaling,L1_pipe_P8_equal_K400_s300k_seed3,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,50;50;50;50;50;50;50;50,400,300000,1e-4,0.0025,0.01,uniform,0.01,3,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_300k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_pipe_P8_equal_K400_s300k_seed3.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_pipe_P8_equal_K400_s300k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_pipe_P8_equal_K400_s300k_seed3,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_pipe_P8_equal_K400_s300k_seed3.pbs.out
L1,long_k_scaling,L1_single_fullk_K400_s300k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,single_fullk,1,1,400,400,300000,1e-4,0.0025,0.01,deep_only,0.01,1,1,1,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_300k_single_control,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_single_fullk_K400_s300k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_single_fullk_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_single_fullk_K400_s300k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_single_fullk_K400_s300k_seed1.pbs.out
L1,long_k_scaling,L1_single_emul_P8_equal_K400_s300k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,single_pipe_emul,1,8,50;50;50;50;50;50;50;50,400,300000,1e-4,0.0025,0.01,uniform,0.01,1,1,1,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_300k_single_control,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_single_emul_P8_equal_K400_s300k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_single_emul_P8_equal_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_single_emul_P8_equal_K400_s300k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_single_emul_P8_equal_K400_s300k_seed1.pbs.out
L2,long_k_scaling,L2_ddp_fullk_K400_s500k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,400,400,500000,1e-4,0.0025,0.01,deep_only,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_500k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2_ddp_fullk_K400_s500k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2_ddp_fullk_K400_s500k_seed1.pbs.out
L2,long_k_scaling,L2_pipe_P8_equal_K400_s500k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,50;50;50;50;50;50;50;50,400,500000,1e-4,0.0025,0.01,uniform,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_500k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2_pipe_P8_equal_K400_s500k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_pipe_P8_equal_K400_s500k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_pipe_P8_equal_K400_s500k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2_pipe_P8_equal_K400_s500k_seed1.pbs.out
L2,long_k_scaling,L2_ddp_fullk_K400_s500k_seed2,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,400,400,500000,1e-4,0.0025,0.01,deep_only,0.01,2,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_500k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2_ddp_fullk_K400_s500k_seed2.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed2,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2_ddp_fullk_K400_s500k_seed2.pbs.out
L2,long_k_scaling,L2_pipe_P8_equal_K400_s500k_seed2,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,50;50;50;50;50;50;50;50,400,500000,1e-4,0.0025,0.01,uniform,0.01,2,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_500k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2_pipe_P8_equal_K400_s500k_seed2.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_pipe_P8_equal_K400_s500k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_pipe_P8_equal_K400_s500k_seed2,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2_pipe_P8_equal_K400_s500k_seed2.pbs.out
L2,long_k_scaling,L2_ddp_fullk_K400_s500k_seed3,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,400,400,500000,1e-4,0.0025,0.01,deep_only,0.01,3,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_500k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2_ddp_fullk_K400_s500k_seed3.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2_ddp_fullk_K400_s500k_seed3.pbs.out
L2,long_k_scaling,L2_pipe_P8_equal_K400_s500k_seed3,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,50;50;50;50;50;50;50;50,400,500000,1e-4,0.0025,0.01,uniform,0.01,3,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,main_500k,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2_pipe_P8_equal_K400_s500k_seed3.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_pipe_P8_equal_K400_s500k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_pipe_P8_equal_K400_s500k_seed3,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2_pipe_P8_equal_K400_s500k_seed3.pbs.out
L2_optional,long_k_scaling,L2opt_single_fullk_K400_s500k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,single_fullk,1,1,400,400,500000,1e-4,0.0025,0.01,deep_only,0.01,1,1,1,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,optional_500k_single_control,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2opt_single_fullk_K400_s500k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2opt_single_fullk_K400_s500k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2_optional/L2opt_single_fullk_K400_s500k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2opt_single_fullk_K400_s500k_seed1.pbs.out
L2_optional,long_k_scaling,L2opt_single_emul_P8_equal_K400_s500k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,single_pipe_emul,1,8,50;50;50;50;50;50;50;50,400,500000,1e-4,0.0025,0.01,uniform,0.01,1,1,1,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,optional_500k_single_control,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2opt_single_emul_P8_equal_K400_s500k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2opt_single_emul_P8_equal_K400_s500k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2_optional/L2opt_single_emul_P8_equal_K400_s500k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2opt_single_emul_P8_equal_K400_s500k_seed1.pbs.out
